,Axis Bank,Larsen & Toubro,TATA STEEL,BAJAJ F,Reliance Com,ONGC,Vodafone,HDFC,SBI,Dr Reddy's,YES Bank,Maruti Suzuki,TCS,Infosys,Oracle,Sunflag,Wipro,HUL,HCL,DLF
Axis Bank,0.00529592035,0.002842000816,0.001642467661,0.004534121682,0.004662523442,0.002378750994,0.002014887781,0.001986631765,0.004044421352,0.0008473478975,0.003963429427,0.002358223535,0.001470746856,0.001867069892,0.00134646222,0.001021504273,0.0007502852681,0.0009626917467,0.0007186594991,0.004944381821
Larsen & Toubro,0.002842000816,0.006506752458,0.0007519617981,0.002760850747,0.001902002737,0.001526544444,0.001865071012,0.001561312103,0.003196016098,0.0006038084079,0.002192188894,0.002609267032,0.001031602366,0.0001961254033,0.0007285985794,0.000798342766,-0.0006558865939,0.000683523622,-0.000348323042,0.00544264141
TATA STEEL,0.001642467661,0.0007519617981,0.008047424901,0.002702230149,0.003497205018,0.004092925456,0.006491144445,0.00135843774,0.002412316499,0.0008605685321,0.004741847943,0.002117844583,0.002091905171,0.0003438110312,0.001726627113,0.005682994316,0.0003739044999,0.0008102686938,-0.0001208703768,0.003468540665
BAJAJ F,0.004534121682,0.002760850747,0.002702230149,0.02755640903,0.00657845199,0.0007814546828,0.006491704197,0.003059595479,0.004715356891,-0.001494710264,0.008915764999,0.003143419297,0.0002495193206,0.002110393802,0.002037089028,0.002675727789,-0.0002663808677,0.003311401942,-0.0008121309406,0.007242189687
Reliance Com,0.004662523442,0.001902002737,0.003497205018,0.00657845199,0.119558226,0.005166916558,0.01642803659,0.001418106376,0.004809975723,0.001392451877,0.01298962695,0.006897646517,-0.005558689694,0.004514359382,0.006411500093,0.006921667191,0.001876697994,0.003371584837,-0.002855742122,0.01184488699
ONGC,0.002378750994,0.001526544444,0.004092925456,0.0007814546828,0.005166916558,0.008139238651,0.003000659334,0.001314326029,0.003745266465,0.00150603004,0.002243331775,0.002412144618,0.001175384196,0.00009321734423,0.0009121709105,0.004990264976,0.001298769332,0.0002088172693,0.0003006103375,0.003012689683
Vodafone,0.002014887781,0.001865071012,0.006491144445,0.006491704197,0.01642803659,0.003000659334,0.02151218122,0.001334636638,0.003083246827,-0.001171347073,0.008892592685,0.004817833914,-0.0003383089666,-0.0003602506961,0.001607748441,0.006067539133,0.001417482586,0.002079363559,-0.001534452685,0.007351194609
HDFC,0.001986631765,0.001561312103,0.00135843774,0.003059595479,0.001418106376,0.001314326029,0.001334636638,0.002229985445,0.002467901448,-0.0005792728008,0.003118050469,0.002435402041,0.0001196112684,0.0007159279515,0.0005627621281,0.001390474456,-0.000494221517,0.0008446508638,-0.0001227567965,0.002993646377
SBI,0.004044421352,0.003196016098,0.002412316499,0.004715356891,0.004809975723,0.003745266465,0.003083246827,0.002467901448,0.008994516614,-0.0006679942424,0.007964005526,0.0029866561,0.0001963027338,0.002296854181,0.001046518194,0.002341594724,0.000531503746,0.001093483161,-0.0002923192464,0.006956543963
Dr Reddy's,0.0008473478975,0.0006038084079,0.0008605685321,-0.001494710264,0.001392451877,0.00150603004,-0.001171347073,-0.0005792728008,-0.0006679942424,0.006180665913,-0.003665604792,-0.0001632089327,0.001240633607,0.000466737629,0.0006167792105,-0.001098201264,-0.0009968961524,-0.0005977589505,0.0003014566543,0.0002366131055
